Rk,Player,School,Conf,ConfGrp,Cmp,Passing Attempts,Pct,Passing Yards,Y/A,AY/A,Passing TD,Interceptions,Rate,Rushing Attempts,Rushing Yards,Rushing Avg,Rushing TD
83,Dane Evans,Tulsa,American,Group of Five,256,462,55.4,3102,6.7,6.1,23,17,120.9,77,58,0.8,3
84,Brandon Allen,Arkansas,SEC,Big Five,178,316,56.3,2125,6.7,7.2,18,5,128.4,36,-13,-0.4,2
85,Devin Gardner,Michigan,Big Ten,Big Five,172,281,61.2,1892,6.7,5,10,15,118.8,98,258,2.6,4
86,Matt Linehan,Idaho,Sun Belt,Group of Five,220,378,58.2,2500,6.6,5.1,11,18,113.8,82,-74,-0.9,1
87,Tyrone Swoopes,Texas,Big 12,Big Five,211,359,58.8,2352,6.6,6,13,10,120.2,103,294,2.9,3
88,Terrance Broadway,Louisiana-Lafayette,Sun Belt,Group of Five,190,311,61.1,2068,6.6,6.1,12,9,123.9,133,646,4.9,3
89,Jameill Showers,Texas-El Paso,CUSA,Group of Five,146,262,55.7,1732,6.6,6.7,12,5,122.6,83,288,3.5,4
90,Maty Mauk,Missouri,SEC,Big Five,209,395,52.9,2551,6.5,6.4,23,11,120.8,97,335,3.5,1
91,Ozzie Mann,Ball State,MAC,Group of Five,116,197,58.9,1281,6.5,7.1,10,2,128.2,31,-2,-0.1,0
92,Sefo Liufau,Colorado,Pac-12,Big Five,325,498,65.3,3194,6.4,6.2,28,15,131.7,70,126,1.8,0
93,C.J. Brown,Maryland,Big Ten,Big Five,174,327,53.2,2083,6.4,5.9,13,9,114.3,148,569,3.8,7
94,Andrew McNulty,North Texas,CUSA,Group of Five,110,202,54.5,1295,6.4,5.4,6,7,111.2,42,54,1.3,2
95,Pete Thomas,Louisiana-Monroe,Sun Belt,Group of Five,301,501,60.1,3181,6.3,6.4,14,6,120.2,110,6,0.1,3
96,James Knapke,Bowling Green State,MAC,Group of Five,255,444,57.4,2805,6.3,5.7,13,12,114.8,57,126,2.2,2
97,Tyler Rogers,New Mexico State,Sun Belt,Group of Five,268,435,61.6,2739,6.3,4.9,19,22,118.8,69,200,2.9,2
98,Brian Burrell,Fresno State,MWC,Group of Five,242,412,58.7,2576,6.3,5.6,22,16,121.1,101,328,3.2,3
99,Cody Fajardo,Nevada,MWC,Group of Five,225,376,59.8,2374,6.3,6,18,11,122.8,164,997,6.1,13
100,Greyson Lambert,Virginia,ACC,Big Five,154,261,59,1632,6.3,5.1,10,11,115.7,35,-6,-0.2,2
101,Justin Worley,Tennessee,SEC,Big Five,157,252,62.3,1579,6.3,5.8,12,8,124.3,45,-105,-2.3,3
102,Michael Brewer,Virginia Tech,ACC,Big Five,248,417,59.5,2598,6.2,5.5,17,14,118.5,75,-22,-0.3,2
103,Jack Milas,Ball State,MAC,Group of Five,115,209,55,1302,6.2,6,9,5,116.8,27,96,3.6,2
104,Ikaika Woolsey,Hawaii,MWC,Group of Five,208,414,50.2,2534,6.1,5.3,13,13,105.7,109,213,2,1
105,Colin Reardon,Kent State,MAC,Group of Five,228,401,56.9,2466,6.1,5.1,14,16,112.1,59,148,2.5,2
106,P.J. Walker,Temple,American,Group of Five,205,379,54.1,2317,6.1,5,13,15,108.8,106,324,3.1,3
107,Alex McGough,Florida International,CUSA,Group of Five,138,274,50.4,1680,6.1,5.5,14,10,111.4,97,92,0.9,4
108,Brandon Bridge,South Alabama,Sun Belt,Group of Five,140,270,51.9,1648,6.1,6.1,14,6,115.8,85,256,3,3
109,J.D. Sprague,Ohio,MAC,Group of Five,98,202,48.5,1236,6.1,5.3,3,5,99.9,65,264,4.1,3
110,Christian Hackenberg,Penn State,Big Ten,Big Five,236,434,54.4,2606,6,4.8,8,15,104,85,-94,-1.1,0
111,Sam Richardson,Iowa State,Big 12,Big Five,254,452,56.2,2669,5.9,5.8,18,9,115,125,421,3.4,3
112,Anthony Boone,Duke,ACC,Big Five,240,422,56.9,2507,5.9,6,17,7,116.8,88,346,3.9,5
113,Cole Stoudt,Clemson,ACC,Big Five,165,266,62,1573,5.9,4.7,6,10,111.6,61,101,1.7,0
114,Tanner Lee,Tulane,American,Group of Five,185,336,55.1,1962,5.8,4.7,12,14,107.6,35,-128,-3.7,0
115,Trevor Siemian,Northwestern,Big Ten,Big Five,228,391,58.3,2214,5.7,4.8,7,11,106.2,68,-123,-1.8,5
116,Kyle Pohl,Akron,MAC,Group of Five,207,382,54.2,2185,5.7,5.2,9,8,105.8,46,18,0.4,1
117,John Wolford,Wake Forest,ACC,Big Five,205,353,58.1,1965,5.6,4.5,11,13,107.8,104,-151,-1.5,0
118,Jeff Driskel,Florida,SEC,Big Five,106,195,54.4,1092,5.6,4.2,9,10,106.4,66,173,2.6,4
119,John O'Korn,Houston,American,Group of Five,90,174,51.7,951,5.5,4.1,6,8,99.8,32,17,0.5,1
120,Austin Appleby,Purdue,Big Ten,Big Five,144,272,52.9,1449,5.3,4.2,10,11,101.7,61,198,3.2,5
121,Garrett Krstich,Southern Methodist,American,Group of Five,99,181,54.7,855,4.7,3.2,2,7,90.3,40,81,2,0
